"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:13:24.6069327 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\pzq.rkr","SUCCESS","Type: REG_BINARY, Length: 72, Data: 00 00 00 00 00 00 00 00 06 00 00 00 61 6F 04 00"
"12:13:24.6069772 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA","SUCCESS","Type: REG_BINARY, Length: 1,612, Data: 00 00 00 00 6F 00 00 00 96 00 00 00 02 2D 31 00"
"12:13:24.6076376 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000000D03BE\VirtualDesktop","SUCCESS","Type: REG_BINARY, Length: 24, Data: 10 00 00 00 30 30 44 56 97 4C 14 98 18 72 B2 45"
"12:13:25.2655415 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:25.2988063 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:26.0479524 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000000D0366\VirtualDesktop","SUCCESS","Type: REG_BINARY, Length: 24, Data: 10 00 00 00 30 30 44 56 97 4C 14 98 18 72 B2 45"
"12:13:26.6152208 AM","svchost.exe","928","RegSetValue","HKCU\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\WDAGUtilityAccount\AppData\Local\Temp\Procmon64.exe","SUCCESS","Type: REG_BINARY, Length: 108, Data: 53 41 43 50 01 00 00 00 00 00 00 00 07 00 00 00"
"12:13:27.6142534 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\Hfref\JQNTHgvyvglNppbhag\NccQngn\Ybpny\Grzc\Cebpzba64.rkr","SUCCESS","Type: REG_BINARY, Length: 72, Data: 00 00 00 00 00 00 00 00 05 00 00 00 66 07 03 00"
"12:13:27.6143172 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA","SUCCESS","Type: REG_BINARY, Length: 1,612, Data: 00 00 00 00 6F 00 00 00 97 00 00 00 02 2D 31 00"
"12:13:28.7043458 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FeatureUsage\AppSwitched\C:\Users\WDAGUtilityAccount\Desktop\netease.exe","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:28.8211277 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\Hfref\JQNTHgvyvglNppbhag\NccQngn\Ybpny\Grzc\Cebpzba64.rkr","SUCCESS","Type: REG_BINARY, Length: 72, Data: 00 00 00 00 00 00 00 00 05 00 00 00 F0 17 03 00"
"12:13:28.8211698 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA","SUCCESS","Type: REG_BINARY, Length: 1,612, Data: 00 00 00 00 6F 00 00 00 97 00 00 00 8C 3D 31 00"
"12:13:31.0360574 AM","Explorer.EXE","3448","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC3475","SUCCESS","Type: REG_BINARY, Length: 498, Data: 6A 00 00 00 00 00 00 00 04 00 04 00 01 02 09 00"
"12:13:31.0363549 AM","Explorer.EXE","3448","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC4C75","SUCCESS","Type: REG_BINARY, Length: 234, Data: 07 00 00 00 00 00 00 00 04 00 00 00 01 01 01 00"
"12:13:31.8174138 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\Hfref\JQNTHgvyvglNppbhag\Qrfxgbc\argrnfr.rkr","SUCCESS","Type: REG_BINARY, Length: 72, Data: 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00"
"12:13:31.8174783 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA","SUCCESS","Type: REG_BINARY, Length: 1,612, Data: 00 00 00 00 6F 00 00 00 98 00 00 00 8C 3D 31 00"
"12:13:32.3954110 AM","Explorer.EXE","3448","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC3475","SUCCESS","Type: REG_BINARY, Length: 498, Data: 6B 00 00 00 00 00 00 00 04 00 04 00 01 02 09 00"
"12:13:37.8507931 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Netease\cloudmusic\version","SUCCESS","Type: REG_SZ, Length: 26, Data: 2.5.3.197682"
"12:13:37.8514360 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Netease\cloudmusic\install_dir","SUCCESS","Type: REG_SZ, Length: 84, Data: C:\Program Files (x86)\Netease\CloudMusic"
"12:13:37.8521889 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\App Paths\cloudmusic.exe\(Default)","SUCCESS","Type: REG_SZ, Length: 114, Data: C:\Program Files (x86)\Netease\CloudMusic\cloudmusic.exe"
"12:13:37.8528854 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\网易云音乐\DisplayName","SUCCESS","Type: REG_SZ, Length: 12, Data: 网易云音乐"
"12:13:37.8536434 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\网易云音乐\UninstallString","SUCCESS","Type: REG_SZ, Length: 112, Data: C:\Program Files (x86)\Netease\CloudMusic\UnInstall.exe"
"12:13:37.8541229 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\网易云音乐\DisplayIcon","SUCCESS","Type: REG_SZ, Length: 114, Data: C:\Program Files (x86)\Netease\CloudMusic\cloudmusic.exe"
"12:13:37.8545692 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\网易云音乐\DisplayVersion","SUCCESS","Type: REG_SZ, Length: 26, Data: 2.5.3.197682"
"12:13:37.8550538 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\网易云音乐\Publisher","SUCCESS","Type: REG_SZ, Length: 10, Data: 网易公司"
"12:13:37.9895801 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9898459 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9903496 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9905970 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9908349 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9910476 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9913308 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9916492 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9918888 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:37.9921666 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:38.2162008 AM","netease.exe","3600","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SlowContextMenuEntries","SUCCESS","Type: REG_BINARY, Length: 100, Data: 60 24 B2 21 EA 3A 69 10 A2 DC 08 00 2B 30 30 9D"
"12:13:38.2220038 AM","netease.exe","3600","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1b\52C64B7E\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 20, Data: en-US, en"
"12:13:38.2298566 AM","netease.exe","3600","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Run\cloudmusic","SUCCESS","Type: REG_SZ, Length: 170, Data: ""C:\Program Files (x86)\Netease\CloudMusic\cloudmusic.exe"" --orpheus-startup=autorun"
"12:13:38.2443921 AM","netease.exe","3600","RegSetValue","HKCR\orpheus\URL Protocol","SUCCESS","Type: REG_SZ, Length: 2, Data: "
